Orden,Materia,Semestre,Bloque,Carrera,Código,Programa,Categoría,Optativa,Lenguaje,SEDI,Estancia Empresarial,Ruta de Enfoque,Ruta_Enfoque
1,Transformación Digital,1,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
2,Estrategia Y Ventaja Competitiva,1,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
4,Fundamentos De Programación,1,2,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
7,Administración De Operaciones,2,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
8,Emprendimiento,2,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
10,Big Data Analitycs,2,2,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
13,Mercados Y Consumidores,3,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
14,Fundamentos De Investigación De Mercados,3,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
16,La Oferta De Valor Productos Y Servicios,3,2,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
19,Administración De Marcas,4,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
20,Administración De Precios,4,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
22,Distribución De La Oferta De Valor,4,2,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
25,Comunicación De La Oferta de Valor,5,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
26,Estrategias De Redes Sociales,5,1,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
28,Creación De Contenidos Y Storytelling,5,2,Licenciatura en Mercadotecnia,LEM,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,VIII,0,0,0
